Probe Type,Lowell,,,
Serial Number,7a:bd,,,
vessel name,5,,,
Vessel Number,5,,,
Date Format,YYYY-MM-DD,,,
Time Format,HH24:MI:SS,,,
Temperature,C,,,
Depth,m,,,
datet(GMT),lat,lon,Temperature (C),Depth (m)
2018-04-30 14:49:00,04134.1983W,7037.2015,26.04,0.35
2018-04-30 14:50:00,4134.1983W,7037.2015,26.06,0.37
2018-04-30 14:51:00,4134.1983,7037.2015,26.05,0.32
2018-04-30 14:52:00,4134.1983,7037.2015,26.04,25
2018-04-30 14:53:00,4134.1983,7037.2015,26.04,66
2018-04-30 14:54:00,4134.1983,7037.2015,26.04,55
2018-04-30 14:55:00,4134.1983,7037.2015,26.04,25
2018-04-30 14:56:00,4134.1983,7037.2015,26.04,22
2018-04-30 14:57:00,4134.1983,7037.2015,26.04,0.34
2018-04-30 14:58:00,4134.1983,7037.2015,26.04,0.35
2018-04-30 14:59:00,4134.1983,7037.2015,26.04,0.33
2018-04-30 15:00:00,4134.1983,7037.2015,26.04,0.34
